epoch,container,mem_bytes,mem_perc,cpu_perc,restarts
1788766941,event_collector,59789803,11.14,10.02,0
1788766941,scoring_engine,48538583,9.04,6.01,0
1788766941,config_service,41691381,7.77,0.10,0
1788766941,siem_api,66081259,12.31,6.37,0
1788767003,event_collector,60104376,11.19,10.57,0
1788767003,scoring_engine,49304043,9.18,6.88,0
1788767003,config_service,41691381,7.77,0.16,0
1788767003,siem_api,66102231,12.31,8.56,0
1788767066,event_collector,59716403,11.12,10.66,0
1788767066,scoring_engine,49241128,9.17,6.74,0
1788767066,config_service,41691381,7.77,0.10,0
1788767066,siem_api,65515028,12.20,3.27,0
1788767128,event_collector,60513320,11.27,10.94,0
1788767128,scoring_engine,50090475,9.33,6.97,0
1788767128,config_service,41691381,7.77,0.11,0
1788767128,siem_api,64718110,12.06,6.03,0
1788767190,event_collector,59370373,11.06,11.73,0
1788767190,scoring_engine,48318382,9.00,7.35,0
1788767190,config_service,41691381,7.77,0.12,0
1788767190,siem_api,64267223,11.97,5.24,0
1788767253,event_collector,59580088,11.10,11.28,0
1788767253,scoring_engine,48706355,9.07,7.45,0
1788767253,config_service,41691381,7.77,0.13,0
1788767253,siem_api,65819115,12.26,5.15,0
1788767315,event_collector,60051947,11.19,12.38,0
1788767315,scoring_engine,49020928,9.13,7.64,0
1788767315,config_service,41691381,7.77,0.12,0
1788767315,siem_api,64896368,12.09,9.03,0
1788767378,event_collector,59433287,11.07,9.77,0
1788767378,scoring_engine,49796874,9.28,5.92,0
1788767378,config_service,41691381,7.77,0.10,0
1788767378,siem_api,66060288,12.30,8.59,0
1788767440,event_collector,59611545,11.10,10.78,0
1788767440,scoring_engine,49094328,9.14,6.46,0
1788767440,config_service,41691381,7.77,0.10,0
1788767440,siem_api,64445480,12.00,8.47,0
1788767502,event_collector,59978547,11.17,10.80,0
1788767502,scoring_engine,48769269,9.08,6.60,0
1788767502,config_service,41691381,7.77,0.12,0
1788767502,siem_api,65389199,12.18,6.57,0
1788767565,event_collector,59622031,11.11,11.28,0
1788767565,scoring_engine,49115299,9.15,7.30,0
1788767565,config_service,41691381,7.77,0.11,0
1788767565,siem_api,65923973,12.28,6.34,0
1788767627,event_collector,60481863,11.27,10.10,0
1788767627,scoring_engine,49304043,9.18,6.93,0
1788767627,config_service,41691381,7.77,0.12,0
1788767627,siem_api,64623738,12.04,5.80,0
1788767690,event_collector,60010004,11.18,10.93,0
1788767690,scoring_engine,50604277,9.43,7.80,0
1788767690,config_service,41691381,7.77,0.13,0
1788767690,siem_api,66301460,12.35,17.17,0
1788767752,event_collector,60219719,11.22,11.65,0
1788767752,scoring_engine,50488934,9.40,7.14,0
1788767752,config_service,41691381,7.77,0.13,0
1788767752,siem_api,65630371,12.22,6.76,0
1788767815,event_collector,59978547,11.17,9.94,0
1788767815,scoring_engine,49545216,9.23,6.65,0
1788767815,config_service,41691381,7.77,0.11,0
1788767815,siem_api,65315799,12.17,11.22,0
1788767877,event_collector,60366520,11.24,11.67,0
1788767877,scoring_engine,50677678,9.44,7.35,0
1788767877,config_service,41691381,7.77,0.12,0
1788767877,siem_api,65221427,12.15,1.91,0
1788767939,event_collector,59978547,11.17,10.67,0
1788767939,scoring_engine,50100961,9.33,6.54,0
1788767939,config_service,41691381,7.77,0.11,0
1788767939,siem_api,66951577,12.47,5.29,0
1788768002,event_collector,59747860,11.13,12.07,0
1788768002,scoring_engine,50100961,9.33,7.38,0
1788768002,config_service,41691381,7.77,0.12,0
1788768002,siem_api,66186117,12.33,1.42,0
1788768064,event_collector,60083404,11.19,10.52,0
1788768064,scoring_engine,50048532,9.32,6.72,0
1788768064,config_service,41691381,7.77,0.11,0
1788768064,siem_api,67329064,12.54,6.21,0
1788768127,event_collector,60439920,11.26,9.22,0
1788768127,scoring_engine,50530877,9.41,6.03,0
1788768127,config_service,41691381,7.77,0.10,0
1788768127,siem_api,67769466,12.62,2.94,0
1788768189,event_collector,59842232,11.15,13.17,0
1788768189,scoring_engine,50677678,9.44,7.95,0
1788768189,config_service,41691381,7.77,0.13,0
1788768189,siem_api,67465379,12.57,7.87,0
1788768251,event_collector,60230205,11.22,9.37,0
1788768251,scoring_engine,50090475,9.33,6.54,0
1788768251,config_service,41691381,7.77,0.11,0
1788768251,siem_api,67087892,12.50,10.53,0
1788768314,event_collector,60670607,11.30,10.64,0
1788768314,scoring_engine,50929336,9.49,6.77,0
1788768314,config_service,41691381,7.77,0.14,0
1788768314,siem_api,67905781,12.65,6.02,0
1788768376,event_collector,60754493,11.32,11.45,0
1788768376,scoring_engine,50457477,9.40,7.28,0
1788768376,config_service,41691381,7.77,0.13,0
1788768376,siem_api,67528294,12.58,3.42,0
1788768439,event_collector,60093890,11.19,10.57,0
1788768439,scoring_engine,50719621,9.45,6.52,0
1788768439,config_service,41691381,7.77,0.12,0
1788768439,siem_api,67045949,12.49,8.71,0
1788768501,event_collector,60083404,11.19,8.94,0
1788768501,scoring_engine,50551848,9.42,6.24,0
1788768501,config_service,41691381,7.77,0.12,0
1788768501,siem_api,67800924,12.63,4.24,0
1788768563,event_collector,60335063,11.24,9.48,0
1788768563,scoring_engine,50195333,9.35,5.99,0
1788768563,config_service,41691381,7.77,0.13,0
1788768563,siem_api,69635932,12.97,6.79,0
1788768626,event_collector,59768832,11.13,11.41,0
1788768626,scoring_engine,50740592,9.45,6.88,0
1788768626,config_service,41691381,7.77,0.16,0
1788768626,siem_api,69405245,12.93,4.45,0
1788768688,event_collector,60188262,11.21,9.54,0
1788768688,scoring_engine,50457477,9.40,6.23,0
1788768688,config_service,41691381,7.77,0.22,0
1788768688,siem_api,67486351,12.57,5.81,0
1788768751,event_collector,59926118,11.16,10.57,0
1788768751,scoring_engine,50279219,9.36,6.74,0
1788768751,config_service,41691381,7.77,0.14,0
1788768751,siem_api,68084039,12.68,10.62,0
1788768813,event_collector,60051947,11.19,11.58,0
1788768813,scoring_engine,50583306,9.42,6.85,0
1788768813,config_service,41691381,7.77,0.12,0
1788768813,siem_api,65368227,12.17,9.70,0
1788768875,event_collector,58489569,10.89,9.74,0
1788768875,scoring_engine,50226790,9.36,5.80,0
1788768875,config_service,41659924,7.76,0.10,0
1788768875,siem_api,65336770,12.17,10.99,0
1788768938,event_collector,57860423,10.78,15.44,0
1788768938,scoring_engine,49566187,9.23,8.24,0
1788768938,config_service,41009807,7.64,0.16,0
